L.Act - R.Act Pitch, Yaw, Roll, Contact
 ***Left Actuator value = -0.1 ****
L -0.1   R -0.1  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.05789473684210527   R 0.01578947368421052  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R 0.02631578947368421  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R 0.0368421052631579  P -13.757515812755912,   Y47.33151137622973,    R -0.001955902464621243, AxisA((0.11549541354179382, -0.26363518834114075, 0.9576832056045532), 0.8583438396453857) C1
 L -0.05789473684210527   R 0.04736842105263156  P -11.378102684581012,   Y47.691662211528055,    R -0.0043649282714688575, AxisA((0.09664399176836014, -0.21887370944023132, 0.9709552526473999), 0.8543824553489685) C1
 L -0.05789473684210527   R 0.05789473684210525  P -11.378102684581012,   Y47.691662211528055,    R -0.0043649282714688575, AxisA((0.09664399176836014, -0.21887370944023132, 0.9709552526473999), 0.8543824553489685) C1
 L -0.05789473684210527   R 0.06842105263157894  P -11.378102684581012,   Y47.691662211528055,    R -0.0043649282714688575, AxisA((0.09664399176836014, -0.21887370944023132, 0.9709552526473999), 0.8543824553489685) C1
 L -0.05789473684210527   R 0.07894736842105263  P -11.378102684581012,   Y47.691662211528055,    R -0.0043649282714688575, AxisA((0.09664399176836014, -0.21887370944023132, 0.9709552526473999), 0.8543824553489685) C1
 L -0.05789473684210527   R 0.08947368421052632  P -11.378102684581012,   Y47.691662211528055,    R -0.0043649282714688575, AxisA((0.09664399176836014, -0.21887370944023132, 0.9709552526473999), 0.8543824553489685) C1
 L -0.05789473684210527   R 0.1  P -11.378102684581012,   Y47.691662211528055,    R -0.0043649282714688575, AxisA((0.09664399176836014, -0.21887370944023132, 0.9709552526473999), 0.8543824553489685) C1
 ***Left Actuator value = -0.04736842105263159 ****
L -0.04736842105263159   R -0.1  P -10.816172695160452,   Y47.73462920768733,    R -0.005674555195677629, AxisA((0.09207265079021454, -0.20838867127895355, 0.973702609539032), 0.8530150055885315) C1
 L -0.04736842105263159   R -0.08947368421052632  P -10.816172695160452,   Y47.73462920768733,    R -0.005674555195677629, AxisA((0.09207265079021454, -0.20838867127895355, 0.973702609539032), 0.8530150055885315) C1
 L -0.04736842105263159   R -0.07894736842105264  P -10.816172695160452,   Y47.73462920768733,    R -0.005674555195677629, AxisA((0.09207265079021454, -0.20838867127895355, 0.973702609539032), 0.8530150055885315) C1
 L -0.04736842105263159   R -0.06842105263157895  P -10.816172695160452,   Y47.73462920768733,    R -0.005674555195677629, AxisA((0.09207265079021454, -0.20838867127895355, 0.973702609539032), 0.8530150055885315) C1
 L -0.04736842105263159   R -0.05789473684210527  P -10.816172695160452,   Y47.73462920768733,    R -0.005674555195677629, AxisA((0.09207265079021454, -0.20838867127895355, 0.973702609539032), 0.8530150055885315) C1
 L -0.04736842105263159   R -0.04736842105263159  P -10.816172695160452,   Y47.73462920768733,    R -0.005674555195677629, AxisA((0.09207265079021454, -0.20838867127895355, 0.973702609539032), 0.8530150055885315) C1
 L -0.04736842105263159   R -0.0368421052631579  P -10.816172695160452,   Y47.73462920768733,    R -0.005674555195677629, AxisA((0.09207265079021454, -0.20838867127895355, 0.973702609539032), 0.8530150055885315) C1
 L -0.04736842105263159   R -0.026315789473684223  P -10.816172695160452,   Y47.73462920768733,    R -0.005674555195677629, AxisA((0.09207265079021454, -0.20838867127895355, 0.973702609539032), 0.8530150055885315) C1
