L.Act - R.Act Pitch, Yaw, Roll, Contact
 ***Left Actuator value = -0.1 ****
L -0.1   R -0.1  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L 0.1   R 0.005263157894736831  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R 0.01578947368421052  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R 0.02631578947368421  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R 0.0368421052631579  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R 0.04736842105263156  P 33.04063558837139,   Y-13.758975312434027,    R -0.006970450496318965, AxisA((0.11087975651025772, 0.9206071496009827, -0.3744174838066101), 0.6233678460121155) C0
 L 0.1   R 0.05789473684210525  P 37.50727509069728,   Y-6.513071947888676,    R -0.0034023515258832827, AxisA((0.05594206228852272, 0.984707772731781, -0.16499003767967224), 0.664068341255188) C1
 L 0.1   R 0.06842105263157894  P 37.90975605165645,   Y-5.819569571586593,    R -0.0030761386721814116, AxisA((0.0501408725976944, 0.9879844784736633, -0.14619137346744537), 0.6691149473190308) C1
 L 0.1   R 0.07894736842105263  P 37.90975605165645,   Y-5.819569571586593,    R -0.0030761386721814116, AxisA((0.0501408725976944, 0.9879844784736633, -0.14619137346744537), 0.6691149473190308) C1
 L 0.1   R 0.08947368421052632  P 37.90975605165645,   Y-5.819569571586593,    R -0.0030761386721814116, AxisA((0.0501408725976944, 0.9879844784736633, -0.14619137346744537), 0.6691149473190308) C1
 L 0.1   R 0.1  P 37.90975605165645,   Y-5.819569571586593,    R -0.0030761386721814116, AxisA((0.0501408725976944, 0.9879844784736633, -0.14619137346744537), 0.6691149473190308) C1
 
